"Close","Date","Symbol"
0,1,"A"
48,2,"A"
167,3,"A"
145,4,"A"
260,5,"A"
295,6,"A"
302,7,"A"
305,8,"A"
466,9,"A"
370,10,"A"
356,11,"A"
218,12,"A"
274,13,"A"
351,14,"A"
416,15,"A"
375,16,"A"
428,17,"A"
440,18,"A"
496,19,"A"
541,20,"A"
458,21,"A"
552,22,"A"
550,23,"A"
569,24,"A"
611,25,"A"
585,26,"A"
590,27,"A"
566,28,"A"
454,29,"A"
339,30,"A"
395,31,"A"
452,32,"A"
426,33,"A"
676,34,"A"
685,35,"A"
889,36,"A"
881,37,"A"
667,38,"A"
784,39,"A"
776,40,"A"
1000,41,"A"
667,42,"A"
763,43,"A"
667,44,"A"
239,45,"A"
167,46,"A"
178,47,"A"
321,48,"A"
438,49,"A"
372,50,"A"
382,51,"A"
316,52,"A"
286,53,"A"
479,54,"A"
487,55,"A"
503,56,"A"
442,57,"A"
463,58,"A"
433,59,"A"
416,60,"A"
424,61,"A"
451,62,"A"
367,63,"A"
272,1,"AAL"
654,2,"AAL"
684,3,"AAL"
661,4,"AAL"
762,5,"AAL"
666,6,"AAL"
1000,7,"AAL"
972,8,"AAL"
947,9,"AAL"
954,10,"AAL"
895,11,"AAL"
868,12,"AAL"
862,13,"AAL"
791,14,"AAL"
849,15,"AAL"
718,16,"AAL"
851,17,"AAL"
724,18,"AAL"
393,19,"AAL"
249,20,"AAL"
207,21,"AAL"
148,22,"AAL"
288,23,"AAL"
222,24,"AAL"
234,25,"AAL"
242,26,"AAL"
98,27,"AAL"
86,28,"AAL"
4,29,"AAL"
10,30,"AAL"
0,31,"AAL"
9,32,"AAL"
198,33,"AAL"
266,34,"AAL"
226,35,"AAL"
267,36,"AAL"
399,37,"AAL"
400,38,"AAL"
386,39,"AAL"
367,40,"AAL"
477,41,"AAL"
481,42,"AAL"
651,43,"AAL"
447,44,"AAL"
574,45,"AAL"
511,46,"AAL"
530,47,"AAL"
705,48,"AAL"
724,49,"AAL"
762,50,"AAL"
648,51,"AAL"
596,52,"AAL"
613,53,"AAL"
729,54,"AAL"
788,55,"AAL"
781,56,"AAL"
847,57,"AAL"
967,58,"AAL"
939,59,"AAL"
975,60,"AAL"
913,61,"AAL"
921,62,"AAL"
862,63,"AAL"
810,1,"AAP"
795,2,"AAP"
631,3,"AAP"
606,4,"AAP"
605,5,"AAP"
476,6,"AAP"
505,7,"AAP"
406,8,"AAP"
291,9,"AAP"
248,10,"AAP"
269,11,"AAP"
353,12,"AAP"
342,13,"AAP"
306,14,"AAP"
300,15,"AAP"
265,16,"AAP"
197,17,"AAP"
159,18,"AAP"
254,19,"AAP"
103,20,"AAP"
106,21,"AAP"
95,22,"AAP"
55,23,"AAP"
93,24,"AAP"
98,25,"AAP"
53,26,"AAP"
0,27,"AAP"
1,28,"AAP"
43,29,"AAP"
74,30,"AAP"
117,31,"AAP"
663,32,"AAP"
495,33,"AAP"
451,34,"AAP"
401,35,"AAP"
489,36,"AAP"
387,37,"AAP"
415,38,"AAP"
399,39,"AAP"
425,40,"AAP"
546,41,"AAP"
834,42,"AAP"
877,43,"AAP"
807,44,"AAP"
1000,45,"AAP"
883,46,"AAP"
735,47,"AAP"
739,48,"AAP"
849,49,"AAP"
871,50,"AAP"
959,51,"AAP"
938,52,"AAP"
844,53,"AAP"
865,54,"AAP"
946,55,"AAP"
825,56,"AAP"
779,57,"AAP"
842,58,"AAP"
859,59,"AAP"
916,60,"AAP"
827,61,"AAP"
825,62,"AAP"
824,63,"AAP"
14,1,"AAPL"
43,2,"AAPL"
0,3,"AAPL"
83,4,"AAPL"
79,5,"AAPL"
102,6,"AAPL"
105,7,"AAPL"
133,8,"AAPL"
109,9,"AAPL"
153,10,"AAPL"
278,11,"AAPL"
304,12,"AAPL"
273,13,"AAPL"
108,14,"AAPL"
120,15,"AAPL"
117,16,"AAPL"
157,17,"AAPL"
127,18,"AAPL"
171,19,"AAPL"
417,20,"AAPL"
577,21,"AAPL"
678,22,"AAPL"
584,23,"AAPL"
637,24,"AAPL"
829,25,"AAPL"
905,26,"AAPL"
929,27,"AAPL"
992,28,"AAPL"
976,29,"AAPL"
923,30,"AAPL"
893,31,"AAPL"
778,32,"AAPL"
680,33,"AAPL"
768,34,"AAPL"
726,35,"AAPL"
719,36,"AAPL"
857,37,"AAPL"
936,38,"AAPL"
936,39,"AAPL"
898,40,"AAPL"
853,41,"AAPL"
697,42,"AAPL"
800,43,"AAPL"
765,44,"AAPL"
711,45,"AAPL"
704,46,"AAPL"
676,47,"AAPL"
690,48,"AAPL"
692,49,"AAPL"
836,50,"AAPL"
794,51,"AAPL"
819,52,"AAPL"
816,53,"AAPL"
893,54,"AAPL"
1000,55,"AAPL"
918,56,"AAPL"
909,57,"AAPL"
938,58,"AAPL"
938,59,"AAPL"
744,60,"AAPL"
746,61,"AAPL"
767,62,"AAPL"
686,63,"AAPL"
95,1,"ABBV"
16,2,"ABBV"
39,3,"ABBV"
71,4,"ABBV"
107,5,"ABBV"
141,6,"ABBV"
186,7,"ABBV"
326,8,"ABBV"
215,9,"ABBV"
128,10,"ABBV"
171,11,"ABBV"
301,12,"ABBV"
749,13,"ABBV"
800,14,"ABBV"
756,15,"ABBV"
572,16,"ABBV"
246,17,"ABBV"
255,18,"ABBV"
0,19,"ABBV"
273,20,"ABBV"
161,21,"ABBV"
79,22,"ABBV"
332,23,"ABBV"
168,24,"ABBV"
317,25,"ABBV"
393,26,"ABBV"
508,27,"ABBV"
710,28,"ABBV"
731,29,"ABBV"
678,30,"ABBV"
642,31,"ABBV"
600,32,"ABBV"
485,33,"ABBV"
567,34,"ABBV"
468,35,"ABBV"
467,36,"ABBV"
591,37,"ABBV"
567,38,"ABBV"
596,39,"ABBV"
677,40,"ABBV"
677,41,"ABBV"
723,42,"ABBV"
850,43,"ABBV"
781,44,"ABBV"
654,45,"ABBV"
676,46,"ABBV"
559,47,"ABBV"
541,48,"ABBV"
738,49,"ABBV"
798,50,"ABBV"
779,51,"ABBV"
900,52,"ABBV"
779,53,"ABBV"
912,54,"ABBV"
997,55,"ABBV"
966,56,"ABBV"
907,57,"ABBV"
965,58,"ABBV"
1000,59,"ABBV"
946,60,"ABBV"
986,61,"ABBV"
951,62,"ABBV"
826,63,"ABBV"
489,1,"ABC"
469,2,"ABC"
462,3,"ABC"
529,4,"ABC"
352,5,"ABC"
249,6,"ABC"
307,7,"ABC"
344,8,"ABC"
368,9,"ABC"
302,10,"ABC"
280,11,"ABC"
326,12,"ABC"
353,13,"ABC"
436,14,"ABC"
485,15,"ABC"
452,16,"ABC"
419,17,"ABC"
437,18,"ABC"
269,19,"ABC"
153,20,"ABC"
179,21,"ABC"
180,22,"ABC"
164,23,"ABC"
0,24,"ABC"
76,25,"ABC"
79,26,"ABC"
81,27,"ABC"
86,28,"ABC"
99,29,"ABC"
86,30,"ABC"
105,31,"ABC"
105,32,"ABC"
209,33,"ABC"
344,34,"ABC"
272,35,"ABC"
205,36,"ABC"
303,37,"ABC"
397,38,"ABC"
389,39,"ABC"
383,40,"ABC"
482,41,"ABC"
555,42,"ABC"
563,43,"ABC"
570,44,"ABC"
690,45,"ABC"
615,46,"ABC"
620,47,"ABC"
617,48,"ABC"
655,49,"ABC"
658,50,"ABC"
709,51,"ABC"
741,52,"ABC"
782,53,"ABC"
969,54,"ABC"
932,55,"ABC"
1000,56,"ABC"
997,57,"ABC"
961,58,"ABC"
935,59,"ABC"
973,60,"ABC"
942,61,"ABC"
941,62,"ABC"
904,63,"ABC"
34,1,"ABMD"
0,2,"ABMD"
97,3,"ABMD"
157,4,"ABMD"
197,5,"ABMD"
168,6,"ABMD"
109,7,"ABMD"
125,8,"ABMD"
136,9,"ABMD"
163,10,"ABMD"
57,11,"ABMD"
119,12,"ABMD"
134,13,"ABMD"
110,14,"ABMD"
188,15,"ABMD"
233,16,"ABMD"
256,17,"ABMD"
83,18,"ABMD"
349,19,"ABMD"
396,20,"ABMD"
345,21,"ABMD"
779,22,"ABMD"
649,23,"ABMD"
687,24,"ABMD"
843,25,"ABMD"
896,26,"ABMD"
918,27,"ABMD"
910,28,"ABMD"
864,29,"ABMD"
853,30,"ABMD"
851,31,"ABMD"
806,32,"ABMD"
785,33,"ABMD"
843,34,"ABMD"
824,35,"ABMD"
865,36,"ABMD"
994,37,"ABMD"
971,38,"ABMD"
1000,39,"ABMD"
958,40,"ABMD"
922,41,"ABMD"
819,42,"ABMD"
841,43,"ABMD"
833,44,"ABMD"
671,45,"ABMD"
619,46,"ABMD"
588,47,"ABMD"
617,48,"ABMD"
729,49,"ABMD"
796,50,"ABMD"
780,51,"ABMD"
784,52,"ABMD"
635,53,"ABMD"
643,54,"ABMD"
687,55,"ABMD"
811,56,"ABMD"
804,57,"ABMD"
705,58,"ABMD"
738,59,"ABMD"
670,60,"ABMD"
698,61,"ABMD"
703,62,"ABMD"
601,63,"ABMD"
0,1,"ABT"
18,2,"ABT"
174,3,"ABT"
327,4,"ABT"
348,5,"ABT"
258,6,"ABT"
453,7,"ABT"
200,8,"ABT"
271,9,"ABT"
255,10,"ABT"
250,11,"ABT"
364,12,"ABT"
551,13,"ABT"
612,14,"ABT"
696,15,"ABT"
633,16,"ABT"
448,17,"ABT"
477,18,"ABT"
474,19,"ABT"
445,20,"ABT"
160,21,"ABT"
145,22,"ABT"
84,23,"ABT"
182,24,"ABT"
472,25,"ABT"
350,26,"ABT"
390,27,"ABT"
414,28,"ABT"
467,29,"ABT"
295,30,"ABT"
427,31,"ABT"
350,32,"ABT"
303,33,"ABT"
490,34,"ABT"
496,35,"ABT"
424,36,"ABT"
643,37,"ABT"
559,38,"ABT"
646,39,"ABT"
651,40,"ABT"
617,41,"ABT"
501,42,"ABT"
709,43,"ABT"
606,44,"ABT"
271,45,"ABT"
292,46,"ABT"
258,47,"ABT"
266,48,"ABT"
253,49,"ABT"
332,50,"ABT"
532,51,"ABT"
364,52,"ABT"
277,53,"ABT"
480,54,"ABT"
717,55,"ABT"
823,56,"ABT"
881,57,"ABT"
857,58,"ABT"
857,59,"ABT"
875,60,"ABT"
1000,61,"ABT"
997,62,"ABT"
894,63,"ABT"
59,1,"ACN"
0,2,"ACN"
45,3,"ACN"
98,4,"ACN"
100,5,"ACN"
137,6,"ACN"
163,7,"ACN"
133,8,"ACN"
248,9,"ACN"
248,10,"ACN"
242,11,"ACN"
220,12,"ACN"
158,13,"ACN"
219,14,"ACN"
262,15,"ACN"
254,16,"ACN"
233,17,"ACN"
346,18,"ACN"
386,19,"ACN"
452,20,"ACN"
453,21,"ACN"
406,22,"ACN"
436,23,"ACN"
460,24,"ACN"
490,25,"ACN"
485,26,"ACN"
463,27,"ACN"
533,28,"ACN"
480,29,"ACN"
483,30,"ACN"
484,31,"ACN"
536,32,"ACN"
501,33,"ACN"
641,34,"ACN"
561,35,"ACN"
617,36,"ACN"
689,37,"ACN"
644,38,"ACN"
670,39,"ACN"
664,40,"ACN"
691,41,"ACN"
636,42,"ACN"
689,43,"ACN"
617,44,"ACN"
646,45,"ACN"
672,46,"ACN"
702,47,"ACN"
719,48,"ACN"
816,49,"ACN"
824,50,"ACN"
894,51,"ACN"
860,52,"ACN"
850,53,"ACN"
922,54,"ACN"
875,55,"ACN"
900,56,"ACN"
877,57,"ACN"
1000,58,"ACN"
984,59,"ACN"
939,60,"ACN"
955,61,"ACN"
968,62,"ACN"
944,63,"ACN"
0,1,"ADBE"
17,2,"ADBE"
0,3,"ADBE"
61,4,"ADBE"
84,5,"ADBE"
95,6,"ADBE"
112,7,"ADBE"
152,8,"ADBE"
151,9,"ADBE"
159,10,"ADBE"
67,11,"ADBE"
65,12,"ADBE"
135,13,"ADBE"
635,14,"ADBE"
739,15,"ADBE"
646,16,"ADBE"
631,17,"ADBE"
637,18,"ADBE"
689,19,"ADBE"
784,20,"ADBE"
749,21,"ADBE"
726,22,"ADBE"
755,23,"ADBE"
880,24,"ADBE"
917,25,"ADBE"
877,26,"ADBE"
879,27,"ADBE"
964,28,"ADBE"
907,29,"ADBE"
901,30,"ADBE"
905,31,"ADBE"
891,32,"ADBE"
857,33,"ADBE"
917,34,"ADBE"
915,35,"ADBE"
918,36,"ADBE"
966,37,"ADBE"
933,38,"ADBE"
974,39,"ADBE"
989,40,"ADBE"
1000,41,"ADBE"
771,42,"ADBE"
895,43,"ADBE"
843,44,"ADBE"
547,45,"ADBE"
523,46,"ADBE"
682,47,"ADBE"
711,48,"ADBE"
684,49,"ADBE"
703,50,"ADBE"
656,51,"ADBE"
771,52,"ADBE"
722,53,"ADBE"
789,54,"ADBE"
768,55,"ADBE"
721,56,"ADBE"
702,57,"ADBE"
710,58,"ADBE"
722,59,"ADBE"
707,60,"ADBE"
731,61,"ADBE"
737,62,"ADBE"
728,63,"ADBE"
124,1,"ADI"
134,2,"ADI"
266,3,"ADI"
374,4,"ADI"
371,5,"ADI"
352,6,"ADI"
386,7,"ADI"
456,8,"ADI"
487,9,"ADI"
515,10,"ADI"
487,11,"ADI"
501,12,"ADI"
508,13,"ADI"
484,14,"ADI"
499,15,"ADI"
480,16,"ADI"
664,17,"ADI"
612,18,"ADI"
696,19,"ADI"
775,20,"ADI"
788,21,"ADI"
786,22,"ADI"
748,23,"ADI"
724,24,"ADI"
847,25,"ADI"
904,26,"ADI"
858,27,"ADI"
870,28,"ADI"
592,29,"ADI"
579,30,"ADI"
632,31,"ADI"
682,32,"ADI"
527,33,"ADI"
687,34,"ADI"
679,35,"ADI"
1000,36,"ADI"
652,37,"ADI"
466,38,"ADI"
526,39,"ADI"
321,40,"ADI"
275,41,"ADI"
105,42,"ADI"
159,43,"ADI"
73,44,"ADI"
0,45,"ADI"
4,46,"ADI"
74,47,"ADI"
159,48,"ADI"
88,49,"ADI"
121,50,"ADI"
83,51,"ADI"
47,52,"ADI"
78,53,"ADI"
229,54,"ADI"
398,55,"ADI"
381,56,"ADI"
466,57,"ADI"
466,58,"ADI"
490,59,"ADI"
463,60,"ADI"
520,61,"ADI"
554,62,"ADI"
512,63,"ADI"
726,1,"ADM"
746,2,"ADM"
807,3,"ADM"
871,4,"ADM"
801,5,"ADM"
724,6,"ADM"
803,7,"ADM"
859,8,"ADM"
888,9,"ADM"
1000,10,"ADM"
940,11,"ADM"
934,12,"ADM"
863,13,"ADM"
863,14,"ADM"
898,15,"ADM"
914,16,"ADM"
946,17,"ADM"
888,18,"ADM"
803,19,"ADM"
815,20,"ADM"
763,21,"ADM"
378,22,"ADM"
329,23,"ADM"
238,24,"ADM"
162,25,"ADM"
61,26,"ADM"
115,27,"ADM"
166,28,"ADM"
126,29,"ADM"
192,30,"ADM"
154,31,"ADM"
164,32,"ADM"
0,33,"ADM"
45,34,"ADM"
91,35,"ADM"
47,36,"ADM"
75,37,"ADM"
55,38,"ADM"
35,39,"ADM"
21,40,"ADM"
25,41,"ADM"
160,42,"ADM"
182,43,"ADM"
371,44,"ADM"
444,45,"ADM"
373,46,"ADM"
448,47,"ADM"
466,48,"ADM"
505,49,"ADM"
583,50,"ADM"
557,51,"ADM"
216,52,"ADM"
121,53,"ADM"
317,54,"ADM"
250,55,"ADM"
232,56,"ADM"
180,57,"ADM"
224,58,"ADM"
244,59,"ADM"
257,60,"ADM"
253,61,"ADM"
259,62,"ADM"
222,63,"ADM"
0,1,"ADP"
149,2,"ADP"
223,3,"ADP"
456,4,"ADP"
446,5,"ADP"
456,6,"ADP"
513,7,"ADP"
404,8,"ADP"
458,9,"ADP"
487,10,"ADP"
564,11,"ADP"
472,12,"ADP"
494,13,"ADP"
568,14,"ADP"
709,15,"ADP"
825,16,"ADP"
766,17,"ADP"
753,18,"ADP"
856,19,"ADP"
958,20,"ADP"
821,21,"ADP"
744,22,"ADP"
652,23,"ADP"
538,24,"ADP"
313,25,"ADP"
215,26,"ADP"
368,27,"ADP"
350,28,"ADP"
284,29,"ADP"
189,30,"ADP"
237,31,"ADP"
296,32,"ADP"
143,33,"ADP"
183,34,"ADP"
186,35,"ADP"
129,36,"ADP"
133,37,"ADP"
95,38,"ADP"
75,39,"ADP"
87,40,"ADP"
203,41,"ADP"
430,42,"ADP"
551,43,"ADP"
475,44,"ADP"
589,45,"ADP"
682,46,"ADP"
708,47,"ADP"
703,48,"ADP"
718,49,"ADP"
912,50,"ADP"
829,51,"ADP"
826,52,"ADP"
766,53,"ADP"
951,54,"ADP"
1000,55,"ADP"
967,56,"ADP"
916,57,"ADP"
866,58,"ADP"
811,59,"ADP"
885,60,"ADP"
851,61,"ADP"
857,62,"ADP"
844,63,"ADP"
106,1,"ADS"
