"Close","Date","Symbol"
993,1,"A"
969,2,"A"
1000,3,"A"
708,4,"A"
639,5,"A"
529,6,"A"
571,7,"A"
347,8,"A"
473,9,"A"
389,10,"A"
404,11,"A"
414,12,"A"
409,13,"A"
536,14,"A"
473,15,"A"
456,16,"A"
379,17,"A"
220,18,"A"
480,19,"A"
487,20,"A"
382,21,"A"
403,22,"A"
441,23,"A"
209,24,"A"
0,25,"A"
96,26,"A"
177,27,"A"
89,28,"A"
239,29,"A"
384,30,"A"
517,31,"A"
403,32,"A"
445,33,"A"
544,34,"A"
399,35,"A"
451,36,"A"
477,37,"A"
470,38,"A"
430,39,"A"
639,40,"A"
715,41,"A"
741,42,"A"
765,43,"A"
780,44,"A"
554,45,"A"
561,46,"A"
536,47,"A"
747,48,"A"
711,49,"A"
588,50,"A"
704,51,"A"
757,52,"A"
908,53,"A"
817,54,"A"
856,55,"A"
787,56,"A"
780,57,"A"
795,58,"A"
903,59,"A"
897,60,"A"
851,61,"A"
676,1,"AAL"
627,2,"AAL"
717,3,"AAL"
618,4,"AAL"
608,5,"AAL"
698,6,"AAL"
814,7,"AAL"
574,8,"AAL"
631,9,"AAL"
405,10,"AAL"
417,11,"AAL"
443,12,"AAL"
535,13,"AAL"
582,14,"AAL"
420,15,"AAL"
516,16,"AAL"
522,17,"AAL"
327,18,"AAL"
434,19,"AAL"
483,20,"AAL"
186,21,"AAL"
247,22,"AAL"
335,23,"AAL"
151,24,"AAL"
0,25,"AAL"
80,26,"AAL"
198,27,"AAL"
118,28,"AAL"
286,29,"AAL"
386,30,"AAL"
478,31,"AAL"
503,32,"AAL"
531,33,"AAL"
667,34,"AAL"
609,35,"AAL"
645,36,"AAL"
733,37,"AAL"
671,38,"AAL"
688,39,"AAL"
792,40,"AAL"
762,41,"AAL"
799,42,"AAL"
767,43,"AAL"
830,44,"AAL"
659,45,"AAL"
770,46,"AAL"
767,47,"AAL"
873,48,"AAL"
888,49,"AAL"
828,50,"AAL"
853,51,"AAL"
827,52,"AAL"
996,53,"AAL"
1000,54,"AAL"
910,55,"AAL"
804,56,"AAL"
624,57,"AAL"
676,58,"AAL"
732,59,"AAL"
736,60,"AAL"
689,61,"AAL"
544,1,"AAP"
503,2,"AAP"
346,3,"AAP"
410,4,"AAP"
281,5,"AAP"
340,6,"AAP"
380,7,"AAP"
147,8,"AAP"
114,9,"AAP"
231,10,"AAP"
244,11,"AAP"
196,12,"AAP"
212,13,"AAP"
237,14,"AAP"
248,15,"AAP"
514,16,"AAP"
516,17,"AAP"
399,18,"AAP"
537,19,"AAP"
649,20,"AAP"
529,21,"AAP"
375,22,"AAP"
371,23,"AAP"
217,24,"AAP"
119,25,"AAP"
121,26,"AAP"
6,27,"AAP"
0,28,"AAP"
92,29,"AAP"
299,30,"AAP"
197,31,"AAP"
193,32,"AAP"
205,33,"AAP"
372,34,"AAP"
360,35,"AAP"
473,36,"AAP"
459,37,"AAP"
458,38,"AAP"
395,39,"AAP"
588,40,"AAP"
542,41,"AAP"
609,42,"AAP"
550,43,"AAP"
516,44,"AAP"
444,45,"AAP"
605,46,"AAP"
698,47,"AAP"
794,48,"AAP"
824,49,"AAP"
794,50,"AAP"
809,51,"AAP"
769,52,"AAP"
750,53,"AAP"
795,54,"AAP"
779,55,"AAP"
893,56,"AAP"
922,57,"AAP"
920,58,"AAP"
970,59,"AAP"
1000,60,"AAP"
864,61,"AAP"
739,1,"AAPL"
575,2,"AAPL"
451,3,"AAPL"
187,4,"AAPL"
219,5,"AAPL"
316,6,"AAPL"
405,7,"AAPL"
245,8,"AAPL"
377,9,"AAPL"
229,10,"AAPL"
200,11,"AAPL"
208,12,"AAPL"
178,13,"AAPL"
495,14,"AAPL"
372,15,"AAPL"
407,16,"AAPL"
0,17,"AAPL"
41,18,"AAPL"
242,19,"AAPL"
186,20,"AAPL"
65,21,"AAPL"
181,22,"AAPL"
197,23,"AAPL"
37,24,"AAPL"
98,25,"AAPL"
97,26,"AAPL"
52,27,"AAPL"
17,28,"AAPL"
35,29,"AAPL"
199,30,"AAPL"
291,31,"AAPL"
175,32,"AAPL"
162,33,"AAPL"
214,34,"AAPL"
78,35,"AAPL"
166,36,"AAPL"
206,37,"AAPL"
216,38,"AAPL"
202,39,"AAPL"
440,40,"AAPL"
454,41,"AAPL"
500,42,"AAPL"
594,43,"AAPL"
523,44,"AAPL"
471,45,"AAPL"
477,46,"AAPL"
480,47,"AAPL"
547,48,"AAPL"
563,49,"AAPL"
691,50,"AAPL"
777,51,"AAPL"
767,52,"AAPL"
774,53,"AAPL"
773,54,"AAPL"
824,55,"AAPL"
787,56,"AAPL"
758,57,"AAPL"
729,58,"AAPL"
883,59,"AAPL"
1000,60,"AAPL"
964,61,"AAPL"
840,1,"ABBV"
809,2,"ABBV"
810,3,"ABBV"
788,4,"ABBV"
584,5,"ABBV"
352,6,"ABBV"
478,7,"ABBV"
0,8,"ABBV"
441,9,"ABBV"
805,10,"ABBV"
498,11,"ABBV"
780,12,"ABBV"
938,13,"ABBV"
1000,14,"ABBV"
976,15,"ABBV"
925,16,"ABBV"
775,17,"ABBV"
610,18,"ABBV"
486,19,"ABBV"
419,20,"ABBV"
362,21,"ABBV"
739,22,"ABBV"
729,23,"ABBV"
253,24,"ABBV"
223,25,"ABBV"
300,26,"ABBV"
201,27,"ABBV"
130,28,"ABBV"
183,29,"ABBV"
304,30,"ABBV"
500,31,"ABBV"
440,32,"ABBV"
406,33,"ABBV"
535,34,"ABBV"
508,35,"ABBV"
484,36,"ABBV"
656,37,"ABBV"
630,38,"ABBV"
448,39,"ABBV"
674,40,"ABBV"
590,41,"ABBV"
620,42,"ABBV"
649,43,"ABBV"
682,44,"ABBV"
541,45,"ABBV"
681,46,"ABBV"
660,47,"ABBV"
856,48,"ABBV"
788,49,"ABBV"
580,50,"ABBV"
670,51,"ABBV"
541,52,"ABBV"
704,53,"ABBV"
631,54,"ABBV"
826,55,"ABBV"
677,56,"ABBV"
645,57,"ABBV"
644,58,"ABBV"
767,59,"ABBV"
760,60,"ABBV"
776,61,"ABBV"
924,1,"ABC"
1000,2,"ABC"
919,3,"ABC"
755,4,"ABC"
726,5,"ABC"
528,6,"ABC"
534,7,"ABC"
482,8,"ABC"
511,9,"ABC"
463,10,"ABC"
451,11,"ABC"
368,12,"ABC"
352,13,"ABC"
373,14,"ABC"
387,15,"ABC"
387,16,"ABC"
332,17,"ABC"
185,18,"ABC"
300,19,"ABC"
272,20,"ABC"
228,21,"ABC"
221,22,"ABC"
39,23,"ABC"
54,24,"ABC"
0,25,"ABC"
57,26,"ABC"
100,27,"ABC"
47,28,"ABC"
100,29,"ABC"
100,30,"ABC"
196,31,"ABC"
155,32,"ABC"
163,33,"ABC"
206,34,"ABC"
188,35,"ABC"
175,36,"ABC"
201,37,"ABC"
198,38,"ABC"
151,39,"ABC"
193,40,"ABC"
203,41,"ABC"
233,42,"ABC"
221,43,"ABC"
226,44,"ABC"
212,45,"ABC"
200,46,"ABC"
129,47,"ABC"
300,48,"ABC"
219,49,"ABC"
135,50,"ABC"
174,51,"ABC"
114,52,"ABC"
195,53,"ABC"
177,54,"ABC"
179,55,"ABC"
184,56,"ABC"
129,57,"ABC"
144,58,"ABC"
141,59,"ABC"
175,60,"ABC"
148,61,"ABC"
598,1,"ABMD"
587,2,"ABMD"
600,3,"ABMD"
458,4,"ABMD"
570,5,"ABMD"
587,6,"ABMD"
727,7,"ABMD"
622,8,"ABMD"
708,9,"ABMD"
689,10,"ABMD"
640,11,"ABMD"
511,12,"ABMD"
501,13,"ABMD"
658,14,"ABMD"
768,15,"ABMD"
656,16,"ABMD"
518,17,"ABMD"
452,18,"ABMD"
601,19,"ABMD"
607,20,"ABMD"
566,21,"ABMD"
580,22,"ABMD"
881,23,"ABMD"
442,24,"ABMD"
6,25,"ABMD"
0,26,"ABMD"
57,27,"ABMD"
74,28,"ABMD"
85,29,"ABMD"
309,30,"ABMD"
270,31,"ABMD"
357,32,"ABMD"
433,33,"ABMD"
480,34,"ABMD"
464,35,"ABMD"
415,36,"ABMD"
461,37,"ABMD"
405,38,"ABMD"
378,39,"ABMD"
545,40,"ABMD"
470,41,"ABMD"
506,42,"ABMD"
545,43,"ABMD"
595,44,"ABMD"
556,45,"ABMD"
688,46,"ABMD"
629,47,"ABMD"
699,48,"ABMD"
722,49,"ABMD"
686,50,"ABMD"
616,51,"ABMD"
611,52,"ABMD"
694,53,"ABMD"
750,54,"ABMD"
944,55,"ABMD"
862,56,"ABMD"
823,57,"ABMD"
818,58,"ABMD"
928,59,"ABMD"
925,60,"ABMD"
1000,61,"ABMD"
1000,1,"ABT"
998,2,"ABT"
943,3,"ABT"
789,4,"ABT"
657,5,"ABT"
666,6,"ABT"
776,7,"ABT"
597,8,"ABT"
722,9,"ABT"
637,10,"ABT"
620,11,"ABT"
549,12,"ABT"
476,13,"ABT"
559,14,"ABT"
503,15,"ABT"
579,16,"ABT"
626,17,"ABT"
56,18,"ABT"
229,19,"ABT"
320,20,"ABT"
233,21,"ABT"
254,22,"ABT"
253,23,"ABT"
162,24,"ABT"
169,25,"ABT"
100,26,"ABT"
132,27,"ABT"
0,28,"ABT"
119,29,"ABT"
250,30,"ABT"
320,31,"ABT"
298,32,"ABT"
332,33,"ABT"
427,34,"ABT"
311,35,"ABT"
433,36,"ABT"
499,37,"ABT"
482,38,"ABT"
364,39,"ABT"
453,40,"ABT"
455,41,"ABT"
376,42,"ABT"
430,43,"ABT"
430,44,"ABT"
429,45,"ABT"
446,46,"ABT"
408,47,"ABT"
611,48,"ABT"
631,49,"ABT"
540,50,"ABT"
582,51,"ABT"
599,52,"ABT"
675,53,"ABT"
670,54,"ABT"
711,55,"ABT"
673,56,"ABT"
669,57,"ABT"
688,58,"ABT"
778,59,"ABT"
805,60,"ABT"
833,61,"ABT"
385,1,"ACN"
409,2,"ACN"
400,3,"ACN"
264,4,"ACN"
221,5,"ACN"
267,6,"ACN"
348,7,"ACN"
269,8,"ACN"
387,9,"ACN"
269,10,"ACN"
365,11,"ACN"
259,12,"ACN"
225,13,"ACN"
403,14,"ACN"
381,15,"ACN"
417,16,"ACN"
391,17,"ACN"
442,18,"ACN"
553,19,"ACN"
586,20,"ACN"
475,21,"ACN"
397,22,"ACN"
426,23,"ACN"
255,24,"ACN"
79,25,"ACN"
0,26,"ACN"
40,27,"ACN"
4,28,"ACN"
62,29,"ACN"
162,30,"ACN"
257,31,"ACN"
235,32,"ACN"
254,33,"ACN"
318,34,"ACN"
286,35,"ACN"
282,36,"ACN"
343,37,"ACN"
353,38,"ACN"
314,39,"ACN"
458,40,"ACN"
423,41,"ACN"
429,42,"ACN"
446,43,"ACN"
411,44,"ACN"
421,45,"ACN"
456,46,"ACN"
464,47,"ACN"
559,48,"ACN"
588,49,"ACN"
622,50,"ACN"
646,51,"ACN"
690,52,"ACN"
654,53,"ACN"
672,54,"ACN"
657,55,"ACN"
649,56,"ACN"
950,57,"ACN"
944,58,"ACN"
993,59,"ACN"
998,60,"ACN"
1000,61,"ACN"
908,1,"ADBE"
926,2,"ADBE"
860,3,"ADBE"
764,4,"ADBE"
701,5,"ADBE"
778,6,"ADBE"
800,7,"ADBE"
724,8,"ADBE"
799,9,"ADBE"
767,10,"ADBE"
768,11,"ADBE"
706,12,"ADBE"
709,13,"ADBE"
790,14,"ADBE"
647,15,"ADBE"
653,16,"ADBE"
551,17,"ADBE"
534,18,"ADBE"
765,19,"ADBE"
789,20,"ADBE"
706,21,"ADBE"
708,22,"ADBE"
627,23,"ADBE"
268,24,"ADBE"
54,25,"ADBE"
0,26,"ADBE"
84,27,"ADBE"
54,28,"ADBE"
141,29,"ADBE"
252,30,"ADBE"
401,31,"ADBE"
334,32,"ADBE"
351,33,"ADBE"
498,34,"ADBE"
462,35,"ADBE"
479,36,"ADBE"
643,37,"ADBE"
639,38,"ADBE"
566,39,"ADBE"
727,40,"ADBE"
728,41,"ADBE"
669,42,"ADBE"
618,43,"ADBE"
564,44,"ADBE"
526,45,"ADBE"
572,46,"ADBE"
551,47,"ADBE"
609,48,"ADBE"
659,49,"ADBE"
650,50,"ADBE"
717,51,"ADBE"
807,52,"ADBE"
980,53,"ADBE"
934,54,"ADBE"
937,55,"ADBE"
917,56,"ADBE"
935,57,"ADBE"
929,58,"ADBE"
970,59,"ADBE"
998,60,"ADBE"
1000,61,"ADBE"
541,1,"ADI"
502,2,"ADI"
280,3,"ADI"
152,4,"ADI"
110,5,"ADI"
225,6,"ADI"
271,7,"ADI"
121,8,"ADI"
160,9,"ADI"
94,10,"ADI"
53,11,"ADI"
168,12,"ADI"
163,13,"ADI"
245,14,"ADI"
213,15,"ADI"
236,16,"ADI"
235,17,"ADI"
282,18,"ADI"
485,19,"ADI"
418,20,"ADI"
241,21,"ADI"
245,22,"ADI"
273,23,"ADI"
94,24,"ADI"
30,25,"ADI"
45,26,"ADI"
11,27,"ADI"
0,28,"ADI"
77,29,"ADI"
312,30,"ADI"
375,31,"ADI"
309,32,"ADI"
314,33,"ADI"
364,34,"ADI"
253,35,"ADI"
286,36,"ADI"
400,37,"ADI"
444,38,"ADI"
400,39,"ADI"
566,40,"ADI"
634,41,"ADI"
640,42,"ADI"
670,43,"ADI"
739,44,"ADI"
628,45,"ADI"
588,46,"ADI"
606,47,"ADI"
685,48,"ADI"
659,49,"ADI"
702,50,"ADI"
774,51,"ADI"
872,52,"ADI"
982,53,"ADI"
967,54,"ADI"
935,55,"ADI"
916,56,"ADI"
946,57,"ADI"
915,58,"ADI"
962,59,"ADI"
992,60,"ADI"
1000,61,"ADI"
693,1,"ADM"
745,2,"ADM"
630,3,"ADM"
521,4,"ADM"
504,5,"ADM"
474,6,"ADM"
488,7,"ADM"
384,8,"ADM"
370,9,"ADM"
130,10,"ADM"
0,11,"ADM"
101,12,"ADM"
183,13,"ADM"
353,14,"ADM"
249,15,"ADM"
405,16,"ADM"
420,17,"ADM"
544,18,"ADM"
629,19,"ADM"
643,20,"ADM"
240,21,"ADM"
381,22,"ADM"
486,23,"ADM"
462,24,"ADM"
362,25,"ADM"
399,26,"ADM"
347,27,"ADM"
145,28,"ADM"
252,29,"ADM"
404,30,"ADM"
375,31,"ADM"
440,32,"ADM"
278,33,"ADM"
426,34,"ADM"
426,35,"ADM"
434,36,"ADM"
534,37,"ADM"
556,38,"ADM"
578,39,"ADM"
646,40,"ADM"
691,41,"ADM"
821,42,"ADM"
928,43,"ADM"
862,44,"ADM"
717,45,"ADM"
721,46,"ADM"
684,47,"ADM"
791,48,"ADM"
806,49,"ADM"
786,50,"ADM"
903,51,"ADM"
1000,52,"ADM"
983,53,"ADM"
996,54,"ADM"
923,55,"ADM"
791,56,"ADM"
775,57,"ADM"
759,58,"ADM"
827,59,"ADM"
794,60,"ADM"
754,61,"ADM"
382,1,"ADP"
398,2,"ADP"
316,3,"ADP"
116,4,"ADP"
63,5,"ADP"
94,6,"ADP"
172,7,"ADP"
0,8,"ADP"
133,9,"ADP"
46,10,"ADP"
143,11,"ADP"
71,12,"ADP"
154,13,"ADP"
304,14,"ADP"
222,15,"ADP"
286,16,"ADP"
253,17,"ADP"
275,18,"ADP"
464,19,"ADP"
455,20,"ADP"
390,21,"ADP"
388,22,"ADP"
441,23,"ADP"
320,24,"ADP"
316,25,"ADP"
269,26,"ADP"
282,27,"ADP"
232,28,"ADP"
355,29,"ADP"
520,30,"ADP"
645,31,"ADP"
611,32,"ADP"
664,33,"ADP"
732,34,"ADP"
607,35,"ADP"
640,36,"ADP"
693,37,"ADP"
672,38,"ADP"
594,39,"ADP"
762,40,"ADP"
671,41,"ADP"
671,42,"ADP"
715,43,"ADP"
707,44,"ADP"
658,45,"ADP"
677,46,"ADP"
635,47,"ADP"
802,48,"ADP"
802,49,"ADP"
806,50,"ADP"
834,51,"ADP"
929,52,"ADP"
913,53,"ADP"
943,54,"ADP"
913,55,"ADP"
904,56,"ADP"
922,57,"ADP"
886,58,"ADP"
977,59,"ADP"
954,60,"ADP"
1000,61,"ADP"
975,1,"ADS"
1000,2,"ADS"
960,3,"ADS"
875,4,"ADS"
824,5,"ADS"
784,6,"ADS"
827,7,"ADS"
737,8,"ADS"
816,9,"ADS"
765,10,"ADS"
772,11,"ADS"
720,12,"ADS"
739,13,"ADS"
743,14,"ADS"
704,15,"ADS"
747,16,"ADS"
718,17,"ADS"
225,18,"ADS"
233,19,"ADS"
303,20,"ADS"
177,21,"ADS"
181,22,"ADS"
209,23,"ADS"
104,24,"ADS"
68,25,"ADS"
0,26,"ADS"
51,27,"ADS"
34,28,"ADS"
57,29,"ADS"
106,30,"ADS"
157,31,"ADS"
209,32,"ADS"
281,33,"ADS"
348,34,"ADS"
302,35,"ADS"
347,36,"ADS"
366,37,"ADS"
366,38,"ADS"
340,39,"ADS"
375,40,"ADS"
384,41,"ADS"
410,42,"ADS"
403,43,"ADS"
441,44,"ADS"
366,45,"ADS"
372,46,"ADS"
319,47,"ADS"
355,48,"ADS"
389,49,"ADS"
346,50,"ADS"
311,51,"ADS"
293,52,"ADS"
325,53,"ADS"
342,54,"ADS"
342,55,"ADS"
337,56,"ADS"
357,57,"ADS"
349,58,"ADS"
367,59,"ADS"
400,60,"ADS"
442,61,"ADS"
995,1,"ADSK"
1000,2,"ADSK"
952,3,"ADSK"
751,4,"ADSK"
699,5,"ADSK"
709,6,"ADSK"
684,7,"ADSK"
463,8,"ADSK"
563,9,"ADSK"
380,10,"ADSK"
278,11,"ADSK"
296,12,"ADSK"
294,13,"ADSK"
359,14,"ADSK"
300,15,"ADSK"
325,16,"ADSK"
216,17,"ADSK"
148,18,"ADSK"
235,19,"ADSK"
282,20,"ADSK"
183,21,"ADSK"
389,22,"ADSK"
387,23,"ADSK"
198,24,"ADSK"
45,25,"ADSK"
0,26,"ADSK"
60,27,"ADSK"
34,28,"ADSK"
128,29,"ADSK"
126,30,"ADSK"
227,31,"ADSK"
287,32,"ADSK"
409,33,"ADSK"
434,34,"ADSK"
397,35,"ADSK"
368,36,"ADSK"
381,37,"ADSK"
481,38,"ADSK"
512,39,"ADSK"
657,40,"ADSK"
663,41,"ADSK"
684,42,"ADSK"
766,43,"ADSK"
874,44,"ADSK"
801,45,"ADSK"
791,46,"ADSK"
749,47,"ADSK"
787,48,"ADSK"
792,49,"ADSK"
770,50,"ADSK"
807,51,"ADSK"
812,52,"ADSK"
854,53,"ADSK"
874,54,"ADSK"
864,55,"ADSK"
825,56,"ADSK"
829,57,"ADSK"
815,58,"ADSK"
878,59,"ADSK"
859,60,"ADSK"
882,61,"ADSK"
78,1,"AEP"
133,2,"AEP"
