"Close","Date","Symbol"
141,1,"A"
101,2,"A"
0,3,"A"
132,4,"A"
28,5,"A"
37,6,"A"
20,7,"A"
66,8,"A"
192,9,"A"
204,10,"A"
222,11,"A"
276,12,"A"
288,13,"A"
304,14,"A"
359,15,"A"
342,16,"A"
319,17,"A"
277,18,"A"
312,19,"A"
258,20,"A"
223,21,"A"
330,22,"A"
266,23,"A"
169,24,"A"
229,25,"A"
292,26,"A"
278,27,"A"
369,28,"A"
431,29,"A"
467,30,"A"
452,31,"A"
495,32,"A"
694,33,"A"
681,34,"A"
714,35,"A"
758,36,"A"
715,37,"A"
777,38,"A"
830,39,"A"
842,40,"A"
884,41,"A"
893,42,"A"
901,43,"A"
894,44,"A"
870,45,"A"
889,46,"A"
874,47,"A"
928,48,"A"
920,49,"A"
822,50,"A"
762,51,"A"
761,52,"A"
765,53,"A"
823,54,"A"
822,55,"A"
927,56,"A"
929,57,"A"
912,58,"A"
1000,59,"A"
654,60,"A"
404,61,"A"
518,62,"A"
606,63,"A"
687,64,"A"
886,1,"AAL"
877,2,"AAL"
850,3,"AAL"
848,4,"AAL"
814,5,"AAL"
823,6,"AAL"
837,7,"AAL"
866,8,"AAL"
912,9,"AAL"
989,10,"AAL"
973,11,"AAL"
973,12,"AAL"
1000,13,"AAL"
995,14,"AAL"
917,15,"AAL"
805,16,"AAL"
729,17,"AAL"
724,18,"AAL"
711,19,"AAL"
665,20,"AAL"
586,21,"AAL"
570,22,"AAL"
579,23,"AAL"
494,24,"AAL"
469,25,"AAL"
482,26,"AAL"
477,27,"AAL"
528,28,"AAL"
472,29,"AAL"
377,30,"AAL"
388,31,"AAL"
426,32,"AAL"
458,33,"AAL"
456,34,"AAL"
428,35,"AAL"
419,36,"AAL"
401,37,"AAL"
428,38,"AAL"
429,39,"AAL"
388,40,"AAL"
397,41,"AAL"
413,42,"AAL"
415,43,"AAL"
398,44,"AAL"
344,45,"AAL"
372,46,"AAL"
441,47,"AAL"
450,48,"AAL"
505,49,"AAL"
489,50,"AAL"
406,51,"AAL"
316,52,"AAL"
324,53,"AAL"
240,54,"AAL"
253,55,"AAL"
276,56,"AAL"
295,57,"AAL"
287,58,"AAL"
314,59,"AAL"
110,60,"AAL"
0,61,"AAL"
93,62,"AAL"
151,63,"AAL"
189,64,"AAL"
933,1,"AAP"
867,2,"AAP"
935,3,"AAP"
903,4,"AAP"
679,5,"AAP"
694,6,"AAP"
620,7,"AAP"
716,8,"AAP"
936,9,"AAP"
961,10,"AAP"
975,11,"AAP"
961,12,"AAP"
953,13,"AAP"
820,14,"AAP"
751,15,"AAP"
821,16,"AAP"
765,17,"AAP"
814,18,"AAP"
869,19,"AAP"
681,20,"AAP"
694,21,"AAP"
658,22,"AAP"
689,23,"AAP"
679,24,"AAP"
287,25,"AAP"
385,26,"AAP"
441,27,"AAP"
483,28,"AAP"
253,29,"AAP"
357,30,"AAP"
111,31,"AAP"
254,32,"AAP"
29,33,"AAP"
14,34,"AAP"
0,35,"AAP"
157,36,"AAP"
128,37,"AAP"
320,38,"AAP"
552,39,"AAP"
725,40,"AAP"
705,41,"AAP"
569,42,"AAP"
